# California Pizza Kitchen Classic Pizzas - Size and Price List (No Combos)

| Pizza Item | Size | Price |
| --- | --- | --- |
| BBQ Chicken Pizza | 10" | $13.50 |
| BBQ Chicken Pizza | 14" | $20.00 |
| Thai Chicken Pizza | 10" | $13.50 |
| Thai Chicken Pizza | 14" | $20.00 |
| Margherita Pizza | 10" | $12.50 |
| Margherita Pizza | 14" | $18.50 |
| Pepperoni Pizza | 10" | $12.75 |
| Pepperoni Pizza | 14" | $19.25 |
| Mushroom Pepperoni Sausage Pizza | 10" | $13.75 |
| Mushroom Pepperoni Sausage Pizza | 14" | $20.75 |
| The Works Pizza | 10" | $14.25 |
| The Works Pizza | 14" | $21.50 |
