# Refrigerator and Freezer Storage Times for Cooked Leftovers (Cooked Dishes & Ingredients)

| Category | Cooked item (examples) | Refrigerator (40°F/4°C) | Freezer (0°F/-18°C) | Notes |
|---|---|---|---|---|
| Cooked grains & starches | Cooked pasta (plain) | 3–5 days | 1–2 months | Cool quickly; store in shallow containers |
| Cooked grains & starches | Cooked potatoes (boiled/roasted) | 3–5 days | 10–12 months | Texture may change after freezing |
| Cooked grains & starches | Cooked beans/lentils | 3–5 days | 2–3 months | Freeze in meal-size portions |
| Cooked meats | Cooked chicken pieces (roasted/poached) | 3–4 days | 2–6 months | Keep tightly sealed to prevent drying |
| Cooked meats | Cooked ground meat (beef/turkey) | 3–4 days | 3–4 months | Reheat to steaming hot |
| Cooked fish & seafood | Cooked fish (baked/grilled) | 3–4 days | 2–3 months | Quality drops faster than meats |
| Cooked soups & stews | Broth-based soup/stew (cooked) | 3–4 days | 2–3 months | Leave headspace when freezing |
| Sauces & casseroles | Cooked casserole (mixed dish) | 3–4 days | 2–3 months | Label date; freeze after cooling |
| Dairy/egg-based dishes | Cooked egg dishes (frittata/quiche) | 3–4 days | 1–2 months | Freezing may weep; reheat gently |
| Prepared leftovers (mixed) | Restaurant leftovers (already cooked) | 3–4 days | 2–3 months | When in doubt, use earlier date |
| Cooked vegetables | Cooked vegetables (most types) | 3–5 days | 8–12 months | Blanched veg freeze best; sauces vary |
