# Stranger Things (TV Series 2016– ) — Selected Cast Credits (per-series mapping)

| Department | Person | Credited role name(s) | Episodes credited | Years credited |
|---|---|---|---:|---|
| Cast | Winona Ryder | Joyce Byers | 34 | 2016–2022 |
| Cast | David Harbour | Jim Hopper | 34 | 2016–2022 |
| Cast | Millie Bobby Brown | Eleven | 34 | 2016–2022 |
| Cast | Finn Wolfhard | Mike Wheeler | 34 | 2016–2022 |
| Cast | Gaten Matarazzo | Dustin Henderson | 34 | 2016–2022 |
| Cast | Caleb McLaughlin | Lucas Sinclair | 34 | 2016–2022 |
| Cast | Natalia Dyer | Nancy Wheeler | 33 | 2016–2022 |
| Cast | Charlie Heaton | Jonathan Byers | 32 | 2016–2022 |
| Cast | Joe Keery | Steve Harrington | 32 | 2016–2022 |
| Cast | Sadie Sink | Max Mayfield | 25 | 2017–2022 |
| Cast | Maya Hawke | Robin Buckley | 17 | 2019–2022 |
| Cast | Noah Schnapp | Will Byers | 28 | 2016–2022 |
