# Rail transport in Morocco
> Main connections

| From: | To: (and vice versa) | via / change at: | traveltime [2] | Number of trains per day [2] |
| --- | --- | --- | --- | --- |
| Casablanca | Fes | - | 3h20m | 18 x |
| Casablanca | Tangier | - | 4h45m | 8 x |
| Casablanca | Oujda | direct or via Fes | 10h | 3 x (one of them night-train) |
| Casablanca | Nador | direct (1x), via Fes or with transfer in Taourirt | 8h30m up to 10h | 4 trains/day of which 2 are night-trains |
| Marrakech | Fes | - | 7h10m | 8 x |
| Marrakech | Tangier | via Casablanca Voyageurs | 9h30m | 6 x one direct night-train |
| Tangier | Oujda | direct link at daytime night-train change at Sidi Kacem | 10h20m (day) 10h35m (night) | one day train, one night-train |
| Nador | Taourirt | gives connection to E-W mainline | 1h42m | 3 x (the direct night-train to/from Casablanca doesn't stop in Taourirt) |
| Casablanca | Oued Zem | - | 3h | 1 x |
