# Wars and Conflicts Involving India — Country Participation Record (1947–Present)

| Conflict | Years | India (side/participant) | Allies / Partners | Opponents | Outcome / Remarks |
|---|---:|---|---|---|---|
| First Indo–Pakistani War (Kashmir War) | 1947–1948 | India | Jammu & Kashmir forces (aligned with India) | Pakistan (and allied irregulars) | Ended with UN-mediated ceasefire; Kashmir dispute continued |
| Sino–Indian War | 1962 | India | — | China | Brief border war in Himalayas |
| Indo–Pakistani War of 1965 | 1965 | India | — | Pakistan | Ceasefire after major conventional fighting |
| Bangladesh Liberation War / Indo–Pakistani War of 1971 | 1971 | India | Mukti Bahini, Bangladesh provisional forces | Pakistan | Led to independence of Bangladesh |
| Siachen conflict | 1984–2003 (peak) | India | — | Pakistan | High-altitude military confrontation; intermittent fighting |
| Kargil War | 1999 | India | — | Pakistan-backed forces (infiltrators), Pakistan | Limited war in Kargil district; Indian forces regained positions |
| Insurgency in Jammu and Kashmir | 1989–present | India (counterinsurgency) | — | Militant groups; Pakistan-linked elements (alleged) | Protracted internal armed conflict with cross-border dimensions |
| Indo–Pakistani standoff (Operation Parakram) | 2001–2002 | India (mobilization) | — | Pakistan | Large-scale mobilization after attacks; limited direct combat |
| UN peacekeeping combat operations (selected) | 1960s–present | India (UN troop contributor) | United Nations contingents | Armed groups varying by mission | Includes deployments with combat incidents in missions such as Congo, Somalia, etc. |
