# Median LSAT Scores by Law School (50th Percentile Only) — Selected U.S. J.D. Programs

| LSAT Median (50th) | Law School |
|---:|---|
| 173 | Yale Law School |
| 173 | Harvard Law School |
| 171 | Stanford Law School |
| 171 | Columbia Law School |
| 170 | University of Chicago Law School |
| 170 | New York University School of Law |
| 169 | Duke University School of Law |
| 169 | University of Pennsylvania Carey Law School |
| 168 | University of Virginia School of Law |
| 168 | University of Michigan Law School |
