# Player efficiency rating
> Career PER leaders

| Rank | Player | PER |
| --- | --- | --- |
| 1. | Michael Jordan * | 27.91 |
| 2. | LeBron James ^ | 27.65 |
| 3. | Shaquille O'Neal * | 26.43 |
| 4. | David Robinson * | 26.18 |
| 5. | Wilt Chamberlain * | 26.13 |
| 6. | Chris Paul ^ | 25.68 |
| 7. | Bob Pettit * | 25.35 |
| 8. | Kevin Durant ^ | 25.04 |
| 9. | Neil Johnston * | 24.69 |
| 10. | Dwyane Wade ^ | 24.67 |
| 11. | Charles Barkley * | 24.63 |
| 12. | Kareem Abdul-Jabbar * | 24.58 |
| 13. | Tim Duncan ^ | 24.29 |
| 14. | Magic Johnson * | 24.11 |
| 15. | Karl Malone * | 23.90 |
| 16. | Hakeem Olajuwon * | 23.59 |
| 17. | Larry Bird * | 23.50 |
| 18. | Oscar Robertson * | 23.17 |
| 19. | Dirk Nowitzki ^ | 23.12 |
| 20. | Yao Ming * | 23.02 |
| 21. | Kobe Bryant | 22.94 |
| 22. | Jerry West * | 22.89 |
| 23. | Stephen Curry ^ | 22.88 |
| 24. | Russell Westbrook ^ | 22.82 |
| 25. | Elgin Baylor * | 22.69 |
| 26. | Kevin Garnett ^ | 22.66 |
| 27. | Moses Malone * | 22.31 |
| 28. | Kevin Love ^ | 22.13 |
| 29. | Tracy McGrady | 22.13 |
| 30. | James Harden ^ | 22.00 |
| 31. | Dolph Schayes * | 21.98 |
| 32. | Julius Erving * | 21.97 |
| 33. | Dwight Howard ^ | 21.87 |
| 34. | Amar'e Stoudemire ^ | 21.87 |
| 35. | John Stockton * | 21.83 |
| 36. | George Gervin * | 21.74 |
| 37. | Bob Lanier * | 21.69 |
| 38. | Pau Gasol ^ | 21.62 |
| 39. | Dominique Wilkins * | 21.65 |
| 40. | Clyde Lovellette * | 21.55 |
| 41. | Adrian Dantley * | 21.51 |
| 42. | Harry Gallatin * | 21.48 |
| 43. | Alonzo Mourning * | 21.24 |
| 44. | Carmelo Anthony ^ | 21.13 |
| 45. | Brook Lopez ^ | 21.09 |
| 46. | Clyde Drexler * | 21.07 |
| 47. | Manu Ginobli ^ | 21.03 |
| 48. | Patrick Ewing * | 21.01 |
| 49. | Dan Issel * | 20.99 |
| 50. | Chris Webber | 20.94 |
