# 2008 NASCAR Craftsman Truck Series — Race Results (Top 10 Positions, No Winner Highlight)

| Pos | No. | Driver | Manufacturer | Team |
| --- | --- | --- | --- | --- |
| 2 | 11 | David Starr | Toyota | Red Horse Racing |
| 3 | 30 | Todd Bodine | Toyota | Germain Racing |
| 4 | 88 | Matt Crafton | Chevrolet | ThorSport Racing |
| 5 | 60 | Terry Cook | Toyota | Wyler Racing |
| 6 | 33 | Ron Hornaday | Chevrolet | Kevin Harvick Inc. |
| 7 | 23 | Johnny Benson | Toyota | Bill Davis Racing |
| 8 | 51 | Kyle Busch | Toyota | Billy Ballew Motorsports |
| 9 | 8 | Chad McCumbee | Chevrolet | MRD Motorsports |
| 10 | 10 | Brendan Gaughan | Ford | Circle Bar Racing |
