# Yoga Studio Cheat Sheet  English Sanskrit Pose Names with Yamas & Niyamas

| Category | Term (English) | Term (Sanskrit) | Notes |
| --- | --- | --- | --- |
| Ethical principle | Non-violence | Ahimsa | Foundation of practice |
| Ethical principle | Truthfulness | Satya | Speech/action alignment |
| Ethical principle | Non-stealing | Asteya | Integrity |
| Ethical principle | Moderation | Brahmacharya | Wise use of energy |
| Ethical principle | Non-possessiveness | Aparigraha | Letting go |
| Observance | Cleanliness | Saucha | Internal/external purity |
| Observance | Contentment | Santosha | Acceptance |
| Observance | Discipline | Tapas | Heat/effort |
| Observance | Self-study | Svadhyaya | Reflection |
| Observance | Surrender | Ishvara Pranidhana | Devotion |
| Asana (single example) | Seated posture | Asana | Generic posture term |
| Breath practice (placeholder) | Breath control | Pranayama | Not a specific pose |
