# Ultrasound-Based Fetal Growth Reference by Gestational Week (Biometry + Estimated Weight)

| Gestational age (weeks) | EFW (g) | Femur length FL (mm) | Head circumference HC (mm) | Notes |
| --- | --- | --- | --- | --- |
| 20 | 300–360 | 30–34 | 170–185 | Mid-trimester scan |
| 22 | 430–520 | 35–39 | 190–205 | Growth tracking |
| 24 | 600–750 | 40–44 | 210–225 | Anatomy follow-up |
| 26 | 800–950 | 45–49 | 230–245 | Increasing fat |
| 28 | 1000–1200 | 50–54 | 250–265 | Third trimester |
| 30 | 1300–1550 | 55–59 | 270–285 | Routine check |
| 32 | 1600–1900 | 60–64 | 290–305 | Continued gain |
| 34 | 2100–2400 | 65–69 | 310–325 | Near term |
| 36 | 2600–3000 | 70–74 | 330–345 | Late pregnancy |
| 38 | 3100–3500 | 75–79 | 350–365 | Term window |
| 40 | 3200–3800 | 78–82 | 360–375 | Full term |
