# Europe  Time Offsets, Historical Timekeeping Names, and DST Labels (Reference Table)

| Country | Current Standard Offset | Historical/Unofficial Name | Standard Abbrev. | DST Abbrev. | Typical DST Shift |
| --- | --- | --- | --- | --- | --- |
| United Kingdom | UTC±00:00 | Greenwich Mean Time | GMT | BST | +1 hour |
| Ireland | UTC±00:00 | Dublin Mean Time (historical) | GMT | IST | +1 hour |
| France | UTC+01:00 | Paris Mean Time (historical) | CET | CEST | +1 hour |
| Spain | UTC+01:00 | Western European Time (past) | CET | CEST | +1 hour |
| Germany | UTC+01:00 | Central European Time | CET | CEST | +1 hour |
| Italy | UTC+01:00 | Central European Time | CET | CEST | +1 hour |
| Poland | UTC+01:00 | Central European Time | CET | CEST | +1 hour |
| Greece | UTC+02:00 | Eastern European Time | EET | EEST | +1 hour |
| Finland | UTC+02:00 | Eastern European Time | EET | EEST | +1 hour |
| Turkey | UTC+03:00 | Turkey Time (TRT) | TRT | — | DST abolished |
| Iceland | UTC±00:00 | Greenwich Mean Time | GMT | — | No DST |
| Russia | UTC+03:00 | Moscow Time | MSK | — | No DST |
