# Zombie Video Games by Platform Availability (Console, PC, Mobile, VR)

| Zombie game / zombie-focused mode | Release year | Windows (PC) | PlayStation (PS4/PS5) | Xbox (One/Series) | Nintendo (Switch) | Mobile (iOS/Android) | VR (PSVR/PC VR) |
|---|---:|---|---|---|---|---|---|
| Dying Light | 2015 | Yes | Yes | Yes | No | No | No |
| Dying Light 2: Stay Human | 2022 | Yes | Yes | Yes | No | No | No |
| Dead Island | 2011 | Yes | Yes | Yes | No | No | No |
| Dead Island 2 | 2023 | Yes | Yes | Yes | No | No | No |
| World War Z | 2019 | Yes | Yes | Yes | Yes | No | No |
| Back 4 Blood | 2021 | Yes | Yes | Yes | Yes | No | No |
| Plants vs. Zombies: Battle for Neighborville | 2019 | Yes | Yes | Yes | Yes | No | No |
| Arizona Sunshine (VR) | 2016 | Yes | No | No | No | No | Yes |
| The Walking Dead: Saints & Sinners (VR) | 2020 | Yes | Yes | No | No | No | Yes |
