# History of Microsoft Office
> Windows Office version up to New versions

| Standard | Small Business * | Professional | Premium | Developer |
| --- | --- | --- | --- | --- |
| Word | Word | Word | Word | Word |
| Excel | Excel | Excel | Excel | Excel |
| Outlook | Outlook | Outlook | Outlook | Outlook |
| PowerPoint |  | PowerPoint | PowerPoint | PowerPoint |
|  | Publisher | Publisher | Publisher | Publisher |
|  |  | Access | Access | Access |
|  |  |  | FrontPage | FrontPage |
|  |  |  | PhotoDraw | PhotoDraw |
|  | Small Business Tools |  |  | Developer Tools and SDK |
