# Member States of the Confederate States of America (CSA) — Secession and Admission Timeline

| Category | State | Secession ordinance adopted (date) | Joined/Admitted to CSA (membership note) | Notes |
| --- | --- | --- | --- | --- |
| Deep South | South Carolina | 1860-12-20 | Founding member; represented at Montgomery (Feb 1861) | First state to secede |
| Deep South | Mississippi | 1861-01-09 | Founding member; represented at Montgomery (Feb 1861) | Cited slavery as central reason |
| Deep South | Florida | 1861-01-10 | Founding member; represented at Montgomery (Feb 1861) | Delegates participated in provisional government |
| Deep South | Alabama | 1861-01-11 | Founding member; hosted Montgomery convention | Capital at Montgomery early 1861 |
| Deep South | Georgia | 1861-01-19 | Founding member; represented at Montgomery (Feb 1861) | Large population and industry for the CSA |
| Deep South | Louisiana | 1861-01-26 | Founding member; represented at Montgomery (Feb 1861) | Included New Orleans (major port) |
| Deep South | Texas | 1861-02-01 (ratified 1861-02-23) | Founding member; formally aligned after popular ratification | Secession vote followed referendum |
| Upper South | Virginia | 1861-04-17 (ratified 1861-05-23) | Joined after Fort Sumter; transferred CSA capital to Richmond | Often listed as 8th seceding state |
| Upper South | Arkansas | 1861-05-06 | Joined after April 1861 crisis | Seceded after earlier convention initially rejected secession |
| Upper South | Tennessee | 1861-05-07 (ratified 1861-06-08) | Joined after popular referendum | Governor sought alignment with CSA after Lincoln call-up |
| Upper South | North Carolina | 1861-05-20 | Joined after Fort Sumter | Last to secede among the 11 |
