# Indian States and Their Capitals (Administrative Seats)

| No. | State | Capital City | Notes |
| --- | --- | --- | --- |
| 1 | Andhra Pradesh | Amaravati | Seat of administration (post-bifurcation) |
| 2 | Arunachal Pradesh | Itanagar |  |
| 3 | Assam | Dispur |  |
| 4 | Bihar | Patna |  |
| 5 | Chhattisgarh | Raipur |  |
| 6 | Goa | Panaji |  |
| 7 | Gujarat | Gandhinagar |  |
| 8 | Haryana | Chandigarh | Shared capital with Punjab |
| 9 | Himachal Pradesh | Shimla |  |
| 10 | Jharkhand | Ranchi |  |
