# Common Antidepressant Drug Classes and Representative Medications (Brand Generic)

| Therapeutic/Pharmacologic Class | Drug (Generic) | Common Brand Name(s) | Notes (class membership cues) |
|---|---|---|---|
| SSRIs (Selective Serotonin Reuptake Inhibitors) | sertraline | Zoloft | SSRI antidepressant |
| SSRIs (Selective Serotonin Reuptake Inhibitors) | fluoxetine | Prozac | SSRI antidepressant |
| SSRIs (Selective Serotonin Reuptake Inhibitors) | escitalopram | Lexapro | SSRI antidepressant |
| SSRIs (Selective Serotonin Reuptake Inhibitors) | paroxetine | Paxil | SSRI antidepressant |
| SNRIs (Serotonin-Norepinephrine Reuptake Inhibitors) | venlafaxine | Effexor XR | SNRI antidepressant |
| SNRIs (Serotonin-Norepinephrine Reuptake Inhibitors) | duloxetine | Cymbalta | SNRI antidepressant |
| TCAs (Tricyclic Antidepressants) | amitriptyline | Elavil (historical) | TCA antidepressant |
| TCAs (Tricyclic Antidepressants) | nortriptyline | Pamelor | TCA antidepressant |
| Atypical antidepressants | bupropion | Wellbutrin SR/XL | NDRI; not SSRI/SNRI |
| Atypical antidepressants | mirtazapine | Remeron | NaSSA; sedating profile |
| MAOIs (Monoamine Oxidase Inhibitors) | phenelzine | Nardil | MAOI antidepressant |
| MAOIs (Monoamine Oxidase Inhibitors) | tranylcypromine | Parnate | MAOI antidepressant |
