# Global Oil Benchmarks and Energy Screen (Daily Close)

| Ticker | Instrument | Unit | Date | Last | 1D Chg |
| --- | --- | --- | --- | --- | --- |
| CL1 | WTI Crude Oil (NYMEX) | USD/bbl | 2016-06-21 | 47.82 | -1.03 |
| CO1 | Brent Crude (ICE) | USD/bbl | 2016-06-21 | 48.47 | -0.76 |
| LCO | Brent 2nd Month | USD/bbl | 2016-06-21 | 48.60 | -0.70 |
| HO1 | Heating Oil (NYMEX) | USD/gal | 2016-06-21 | 1.49 | -0.03 |
| RB1 | RBOB Gasoline (NYMEX) | USD/gal | 2016-06-21 | 1.47 | -0.02 |
| NG1 | Natural Gas (NYMEX) | USD/MMBtu | 2016-06-21 | 2.67 | +0.01 |
| QS1 | Gasoil (ICE) | USD/mt | 2016-06-21 | 406.50 | -4.25 |
| PLAT | Platinum | USD/oz | 2016-06-21 | 930.00 | +6.00 |
| GOLD | Gold | USD/oz | 2016-06-21 | 1275.00 | +8.00 |
