# List of LGBT characters in film
> C

| Character | Show/film | Orientation | Media |
| --- | --- | --- | --- |
| Cal | Shank | Gay | Film |
| Albert Callan | The Sergeant | Gay | Film |
| Truman Capote | Capote | Gay | Film |
| Truman Capote | Infamous | Gay | Film |
| Luis Carruthers | American Psycho | Gay | Film |
| Steven Carter | Get Real | Gay | Film |
| Michael Caffrey | Billy Elliot | Gay | Film |
| Jennifer Check | Jennifer's Body | Bisexual | Film |
| Vlad Chocul | Foodfight! | Gay | Film |
| Leslie Chow | The Hangover | Bisexual | Film |
| Christina | Party Monster | DMAB Trans woman | Film |
| Cristina | The Skin I Live In | Lesbian | Film |
| Claude | All Over Me | Lesbian | Film |
| Todd Cleary | Wedding Crashers | Gay | Film |
| David Collins | Bride of Chucky | Gay | Film |
| Thomas B. "Tom" Collins | Rent | Bisexual | Film |
| Cristal Connors | Showgirls | Bisexual | Film |
| Helen Cooper | Kissing Jessica Stein | Bisexual | Film |
| Richard Cosway | Jefferson in Paris | Gay | Film |
| Dewey Cox | Walk Hard | Bisexual | Film |
| Terry "Crabs" Crabtree | Wonder Boys | Bisexual | Film |
| John "Plato" Crawford | Rebel Without a Cause | Gay | Film |
| Nina Cruz | All About My Mother (Todo sobre mi madre) | Bisexual | Film |
| Christy Cummings | Best in Show | Lesbian | Film |
| Vaughn Cunningham | Sling Blade | Gay | Film |
