# European Country-Level Pump Prices Comparison (EUR L) - Gasoline Grades and Diesel

| Country | Gasoline 95 (EUR/L) | Gasoline 98 (EUR/L) | Diesel (EUR/L) | Data Month |
|---|---:|---:|---:|---|
| Bulgaria | 1.34 | 1.41 | 1.33 | 2024-03 |
| Czech Republic | 1.62 | 1.71 | 1.57 | 2024-03 |
| Estonia | 1.78 | 1.88 | 1.68 | 2024-03 |
| Finland | 2.05 | 2.18 | 1.94 | 2024-03 |
| Greece | 1.97 | 2.12 | 1.78 | 2024-03 |
| Ireland | 1.80 | 1.93 | 1.74 | 2024-03 |
| Latvia | 1.70 | 1.81 | 1.66 | 2024-03 |
| Portugal | 1.86 | 1.99 | 1.75 | 2024-03 |
| Romania | 1.52 | 1.61 | 1.54 | 2024-03 |
| Spain | 1.73 | 1.86 | 1.62 | 2024-03 |
