# List of The Ring world champions
> Light heavyweight

| Number | Champion | Reign |
| --- | --- | --- |
| 1 | Maxie Rosenbloom | June 25, 1930 – November 16, 1934 |
| 2 | Bob Olin | November 16, 1934 – October 31, 1935 |
| 3 | John Henry Lewis | October 31, 1935 - June 1939 (Retired) |
| 4 | Billy Conn (beat Melio Bettina ) | July 13, 1939 - May 1941 (moved up to heavyweight) |
| 5 | Gus Lesnevich (beat Tami Mauriello ) | August 26, 1941 – July 26, 1948 |
| 6 | Freddie Mills | July 26, 1948 – January 24, 1950 |
| 7 | Joey Maxim | January 24, 1950 – December 17, 1952 |
| 8 | Archie Moore | December 17, 1952 – May 12, 1962 (moved up to heavyweight) |
| 9 | Harold Johnson (beat Doug Jones ) | May 12, 1962 – June 1, 1963 |
| 10 | Willie Pastrano | June 1, 1963 – March 30, 1965 |
| 11 | José Torres | March 30, 1965 – December 16, 1966 |
| 12 | Dick Tiger | December 16, 1966 – May 24, 1968 |
| 13 | Bob Foster | May 24, 1968 - September 16, 1974 (retired) |
| 14 | Víctor Galíndez | 1979 - November 30, 1979 (lost to Marvin Johnson ) |
| 15 | Matthew Saad Muhammad (awarded title by The Ring ) | November 30, 1979 – December 19, 1981 |
| 16 | Dwight Muhammad Qawi | December 19, 1981 – March 18, 1983 |
| 17 | Michael Spinks | March 18, 1983 – September 21, 1985 (vacated after winning the Heavyweight Title) |
| 18 | Roy Jones Jr. | 2001 - May 15, 2004 |
| 19 | Antonio Tarver | May 15, 2004 – December 18, 2004 |
| 20 | Glen Johnson | December 18, 2004 – June 18, 2005 |
| 21 | Antonio Tarver | June 18, 2005 – June 10, 2006 |
| 22 | Bernard Hopkins | June 10, 2006 – April 19, 2008 |
| 23 | Joe Calzaghe | April 19, 2008 – February 6, 2009 (retired) |
| 24 | Jean Pascal (defeated Chad Dawson ) | August 14, 2010 – May 21, 2011 |
| 25 | Bernard Hopkins | May 21, 2011 – April 28, 2012 |
| 26 | Chad Dawson | April 28, 2012 – June 8, 2013 |
| 27 | Adonis Stevenson | June 8, 2013 – November 24, 2015 ( The Ring vacated title) |
