# State-by-State Refinance Rates (Sample Weekly Survey) - Fixed and ARM Products

| State | Refinance Product | Interest Rate | APR | Weekly Change (pp) |
|---|---|---:|---:|---:|
| California | 30-year fixed refi | 3.79% | 3.86% | +0.05 |
|  | 15-year fixed refi | 2.92% | 3.03% | +0.03 |
|  | 7/1 ARM refi | 3.21% | 3.45% | +0.04 |
|  | 30-year jumbo fixed refi | 3.98% | 4.07% | +0.06 |
| Florida | 30-year fixed refi | 3.83% | 3.90% | +0.04 |
|  | 15-year fixed refi | 2.95% | 3.06% | +0.02 |
|  | 7/1 ARM refi | 3.24% | 3.49% | +0.05 |
|  | 30-year jumbo fixed refi | 4.02% | 4.11% | +0.06 |
| Illinois | 30-year fixed refi | 3.77% | 3.84% | +0.03 |
|  | 15-year fixed refi | 2.89% | 3.00% | +0.02 |
|  | 7/1 ARM refi | 3.19% | 3.44% | +0.03 |
|  | 30-year jumbo fixed refi | 3.96% | 4.05% | +0.04 |
| Texas | 30-year fixed refi | 3.86% | 3.94% | +0.06 |
|  | 15-year fixed refi | 2.99% | 3.10% | +0.03 |
|  | 7/1 ARM refi | 3.27% | 3.52% | +0.04 |
|  | 30-year jumbo fixed refi | 4.05% | 4.14% | +0.07 |
| Washington | 30-year fixed refi | 3.73% | 3.80% | +0.02 |
|  | 15-year fixed refi | 2.87% | 2.98% | +0.01 |
|  | 7/1 ARM refi | 3.16% | 3.41% | +0.03 |
|  | 30-year jumbo fixed refi | 3.93% | 4.02% | +0.03 |
