# Galveston, TX Departures by Date  Weekend & Holiday Sailings (Planning View)

| Departure Date | Day | Ship | Cruise Line | Nights | Voyage Type | Itinerary Summary |
| --- | --- | --- | --- | --- | --- | --- |
| 2026-04-03 | Fri | Carnival Freedom | Carnival Cruise Line | 4 | Round-trip | Galveston → Cozumel → Galveston |
| 2026-04-04 | Sat | Royal Caribbean Liberty of the Seas | Royal Caribbean | 7 | Round-trip | Galveston → Roatán → Costa Maya → Cozumel → Galveston |
| 2026-04-10 | Fri | Disney Wonder | Disney Cruise Line | 5 | Round-trip | Galveston → Cozumel → Progreso → Galveston |
| 2026-04-11 | Sat | Carnival Dream | Carnival Cruise Line | 7 | Round-trip | Galveston → Key West → Freeport → Nassau → Galveston |
| 2026-04-17 | Fri | Royal Caribbean Mariner of the Seas | Royal Caribbean | 4 | Round-trip | Galveston → Cozumel → Galveston |
| 2026-05-23 | Sat | Carnival Jubilee | Carnival Cruise Line | 7 | Round-trip | Galveston → Costa Maya → Cozumel → Roatán → Galveston |
| 2026-07-04 | Sat | Royal Caribbean Voyager of the Seas | Royal Caribbean | 5 | Round-trip | Galveston → Costa Maya → Cozumel → Galveston |
| 2026-11-26 | Thu | Carnival Breeze | Carnival Cruise Line | 6 | Holiday sailing | Galveston → Cozumel → Belize City → Galveston |
| 2026-12-27 | Sun | Disney Magic | Disney Cruise Line | 5 | Holiday sailing | Galveston → Cozumel → Castaway Cay → Galveston |
