# Dunkin' Beverage Menu Prices (Chocolate, Tea & Bulk Coffee)

| Beverage | Size | Listed Price |
| --- | --- | --- |
| Hot Chocolate | Small | $1.85 |
| Hot Chocolate | Medium | $2.09 |
| Hot Chocolate | Large | $2.39 |
| Chai Latte | Small | $3.59 |
| Chai Latte | Medium | $3.99 |
| Chai Latte | Large | $4.39 |
| Hot Tea | Small | $1.79 |
| Hot Tea | Medium | $1.99 |
| Iced Tea | Small | $2.19 |
| Iced Tea | Medium | $2.49 |
| Iced Tea | Large | $2.79 |
| Box O' Joe | Serves 10 | $15.99 |
| Box O' Joe | Serves 20 | $29.99 |
