# Xbox 360 System Link (LAN) Games — Shooter & Action Titles (Player and Per-Console Limits)

| Title | Genre | System Link (LAN) | Total players (LAN) | Per console | Notes |
|---|---|---:|---:|---:|---|
| Halo 3 | FPS | Yes | 16 | 4 | LAN parties; split-screen supported |
| Halo 3: ODST | FPS | Yes | 16 | 4 | Firefight supports LAN with multiple consoles |
| Halo: Reach | FPS | Yes | 16 | 4 | Custom games supported over LAN |
| Gears of War | TPS | Yes | 8 | 2 | Versus LAN; co-op varies by mode |
| Gears of War 2 | TPS | Yes | 10 | 2 | LAN multiplayer with multiple consoles |
| Gears of War 3 | TPS | Yes | 10 | 2 | Includes Horde/Versus LAN options |
| Call of Duty 4: Modern Warfare | FPS | Yes | 18 | 4 | LAN private match options |
| Call of Duty: World at War | FPS | Yes | 18 | 4 | Co-op and versus LAN supported |
| Left 4 Dead 2 | Co-op FPS | Yes | 8 | 2 | 4v4 versus; co-op campaign via LAN |
| Borderlands 2 | Action RPG/FPS | Yes | 4 | 2 | Co-op LAN with split-screen |
| Tom Clancy's Rainbow Six: Vegas 2 | Tactical shooter | Yes | 16 | 2 | LAN co-op and competitive modes |
| Unreal Tournament 3 | Arena FPS | Yes | 16 | 2 | Dedicated LAN multiplayer support |
