# Macanese pataca
> Historical exchange rate

| Year | 2002 | 2003 | 2004 | 2005 | 2006 | 2007 | 2008 | 2009 |
| --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Hong Kong dollar | 1.03 | 1.03 | 1.03 | 1.03 | 1.03 | 1.03 | 1.03 | 1.03 |
| Chinese yuan | 0.9706 | 0.9691 | 0.9693 | 0.9778 | 1.0025 | 1.0560 | 1.1546 | 1.1688 |
| United States dollar | 8.0334 | 8.0214 | 8.0226 | 8.0109 | 8.0006 | 8.0360 | 8.0206 | 7.9842 |
| British Pound | 12.0766 | 13.1040 | 14.6911 | 14.5820 | 14.6993 | 16.0887 | 14.8965 | 12.5159 |
| Taiwan dollar | 0.2328 | 0.2332 | 0.2401 | 0.2494 | 0.2462 | 0.2447 | 0.2548 | 0.2418 |
| Euro | 7.5984 | 9.0696 | 9.9645 | 9.9721 | 10.0272 | 11.0049 | 11.8092 | 11.1309 |
| Australian dollar | 4.3703 | 5.2271 | 5.9021 | 6.1064 | 6.0169 | 6.7351 | 6.8552 | 6.3269 |
| Korean won | 0.0065 | 0.0067 | 0.0070 | 0.0078 | 0.0084 | 0.0087 | 0.0074 | 0.0063 |
| Japanese yen | 0.0643 | 0.0692 | 0.0742 | 0.0729 | 0.0689 | 0.0683 | 0.0776 | 0.0854 |
| Malaysian ringgit | 2.1141 | 2.1109 | 2.1112 | 2.1155 | 2.1797 | 2.3374 | 2.4124 | 2.2669 |
| New Zealand dollar | 3.7306 | 4.6671 | 5.3214 | 5.6436 | 5.1889 | 5.9128 | 5.7341 | 5.0721 |
| Singapore dollar | 4.4893 | 4.6034 | 4.7452 | 4.8137 | 5.0294 | 5.3325 | 5.6788 | 5.4955 |
| Swiss franc | 5.1812 | 5.9632 | 6.4572 | 6.4424 | 6.3801 | 6.6998 | 7.4326 | 7.3721 |
