# Majority Owners   Controlling Partners of Selected Premier League Clubs

| Club | League | Majority owner / controlling party | Owner type | Ownership vehicle / group | Estimated holding | Notes |
|---|---|---|---|---|---:|---|
| Arsenal | Premier League | Kroenke Sports & Entertainment | Individual/company | KSE UK Inc. | 90%+ | Stan Kroenke controls |
| Aston Villa | Premier League | V Sports (Wes Edens & Nassef Sawiris) | Ownership group | V Sports | Majority | Co-controlling partners |
| Chelsea | Premier League | Todd Boehly–Clearlake consortium | Ownership group | BlueCo | Majority | Consortium control |
| Everton | Premier League | Farhad Moshiri | Individual | Moshiri / associated entities | Majority | Control stake |
| Fulham | Premier League | Shahid Khan | Individual/company | Khans / Fulham FC (1987) Ltd | 100% | Sole owner |
| Liverpool | Premier League | Fenway Sports Group | Company | FSG | Majority | Corporate owner |
| Manchester City | Premier League | City Football Group (Abu Dhabi United Group control) | Company/group | CFG | Majority | Sheikh Mansour-linked control |
| Manchester United | Premier League | Glazer family | Family | Red Football Ltd | Majority voting control | Dual-class voting structure |
| Newcastle United | Premier League | Saudi PIF-led consortium | Sovereign fund/group | PIF / PCP / Reuben family | 80% | PIF majority |
| Tottenham Hotspur | Premier League | ENIC Group (Joe Lewis) | Company | ENIC | Majority | Control via ENIC |
