# Best Places to Live in Texas (Ranked) — County-Level Demographics (Not Community-Level)

| Rank | County (Texas) | Anchor city | Population | Crime risk indicator | Walk Score (anchor city) |
|---:|---|---|---:|---|---:|
| 1 | Collin County | Plano | 1,169,000 | Low | 38 |
| 2 | Denton County | Denton | 941,000 | Moderate | 39 |
| 3 | Fort Bend County | Sugar Land | 920,000 | Low | 31 |
| 4 | Williamson County | Round Rock | 671,000 | Moderate | 30 |
| 5 | Montgomery County | The Woodlands | 650,000 | Moderate | 22 |
| 6 | Galveston County | League City | 350,000 | Moderate | 21 |
| 7 | Brazoria County | Pearland | 390,000 | Moderate | 25 |
| 8 | El Paso County | El Paso | 871,000 | Moderate | 41 |
| 9 | Dallas County | Dallas | 2,640,000 | High | 46 |
| 10 | Harris County | Houston | 4,800,000 | High | 47 |
| 11 | Tarrant County | Fort Worth | 2,150,000 | Moderate | 34 |
