# Kings of the Franks (Carolingian Dynasty, 751–887)

| Monarch | Reign start | Reign end | Dynasty | Royal title(s) |
|---|---:|---:|---|---|
| Pepin the Short | 751 | 768 | Carolingian | King of the Franks |
| Carloman I | 768 | 771 | Carolingian | King of the Franks |
| Charlemagne | 768 | 814 | Carolingian | King of the Franks; Emperor of the Romans (from 800) |
| Louis the Pious | 814 | 840 | Carolingian | King of the Franks; Emperor of the Romans |
| Charles the Bald | 843 | 877 | Carolingian | King of West Francia; Emperor of the Romans (from 875) |
| Louis the Stammerer | 877 | 879 | Carolingian | King of West Francia |
| Carloman II | 879 | 884 | Carolingian | King of West Francia |
| Charles the Fat | 884 | 887 | Carolingian | King of West Francia; Emperor of the Romans |
| Odo | 888 | 898 | Robertian | King of West Francia |
