# John F . Meagher
> Group wins in Singapore

| Race | Horse | Jockey |
| --- | --- | --- |
| Jumbo Jet Trophy | Kim Angel | L. Dittman |
| Jumbo Jet Trophy | Exaggerate | J. Patton |
| Jumbo Jet Trophy | Arenti | K.B. Soo |
| Pattiti Gold Trophy | Lim's Grand | K.B. Soo |
| Pattiti Gold Trophy | Lim's Grand | K.B. Soo |
| Three Year Old Challenge (1st Leg) | Lim's Objective | K.B. Soo |
| Three Year Old Challenge (1st Leg) | Recast | J. Taylor |
| Singapor Guineas | Recast | J. Taylor |
| Committees Prize | Exaggerate | J. Saimee |
| Chairman's Trophy | Mayo's Music | M. Zhara |
| Tiger Beer Challenge (1st Leg) | Always Mine | J. Saimee |
| Juvenile Championship | Lim's Grand | T. Ong |
| Stewards Cup | Lim's Zerperb | K.B. Soo |
| Three Year Old Challenge (2nd Leg) | Lim's Ransom | K.B. Soo |
| Three Rings Trophy | Arenti | K.B. Soo |
| Kranji Sprint | Lim's Fighter | D. Azis |
