# 2006 NBA draft
> Notable undrafted players

| Player | Position | Nationality | School/club team |
| --- | --- | --- | --- |
| Amundson, Louis Louis Amundson | F | United States | UNLV (Sr.) |
| Barea, José Juan José Juan Barea | PG | Puerto Rico | Northeastern (Sr.) |
| Bozeman, Cedric Cedric Bozeman | G/F | United States | UCLA (Sr.) |
| Copeland, Chris Chris Copeland | SF | United States | Colorado (Sr.) |
| Gardner, Thomas Thomas Gardner | SG | United States | Missouri (Jr.) |
| Jefferson, Dontell Dontell Jefferson | SG | United States | Arkansas (Sr.) |
| Jeter, Eugene Eugene Jeter | PG | United States | Portland (Sr.) |
| Kinsey, Tarence Tarence Kinsey | SG | United States | South Carolina (Sr.) |
| Mensah-Bonsu, Pops Pops Mensah-Bonsu | PF | United Kingdom | George Washington (Sr.) |
| Owens, Larry Larry Owens | SF/SG | United States | Oral Roberts (Sr.) |
| Quinn, Chris Chris Quinn | PG | United States | Notre Dame (Sr.) |
| Ray, Allan Allan Ray | SG/PG | United States | Villanova (Sr.) |
| Richardson, Jeremy Jeremy Richardson | SG/SF | United States | Delta State (Sr.) |
| Russell, Jr., Walker Walker Russell, Jr. | PG | United States | Jacksonville State (Sr.) |
| Watson, C. J. C. J. Watson | G | United States | Tennessee (Sr.) |
