# Minor League Baseball teams by state (selected clubs with explicit State field)

| State | Team | City | Level | League | Stadium |
|---|---|---|---|---|---|
| Arizona | Reno Aces | Reno | AAA | Pacific Coast League | Greater Nevada Field |
| Arizona | Amarillo Sod Poodles | Amarillo | AA | Texas League | Hodgetown |
| California | Sacramento River Cats | Sacramento | AAA | Pacific Coast League | Sutter Health Park |
| California | Fresno Grizzlies | Fresno | Single-A | California League | Chukchansi Park |
| Colorado | Albuquerque Isotopes | Albuquerque | AAA | Pacific Coast League | Isotopes Park |
| Florida | Pensacola Blue Wahoos | Pensacola | AA | Southern League | Blue Wahoos Stadium |
| Florida | Daytona Tortugas | Daytona Beach | Single-A | Florida State League | Jackie Robinson Ballpark |
| Georgia | Gwinnett Stripers | Lawrenceville | AAA | International League | Coolray Field |
| North Carolina | Durham Bulls | Durham | AAA | International League | Durham Bulls Athletic Park |
