# List of Governors and Post-Gubernatorial Offices (State Focus  Career After Term)

| State | Governor | Gubernatorial Term | Party | Office Held After Leaving Governorship |
| --- | --- | --- | --- | --- |
| New Mexico | Octaviano Ambrosio Larrazolo | 1919–1921 | Republican | U.S. Senator |
| Idaho | Thomas M. Bowen | 1871 | Republican | U.S. Senator (Colorado) |
| Texas | Sam Houston | 1859–1861 | Democrat | President of Texas (earlier), U.S. Senator (earlier) |
| Alabama | Fob James | 1979–1983; 1995–1999 | Republican | Candidate for U.S. Senate (unsuccessful) |
| Colorado | Bill Ritter | 2007–2011 | Democrat | University lecturer / policy roles |
| New York | Mario Cuomo | 1983–1994 | Democrat | Public advocacy / legal practice |
| California | Ronald Reagan | 1967–1975 | Republican | President of the United States |
| Massachusetts | Mitt Romney | 2003–2007 | Republican | U.S. Senator (later) / Presidential nominee |
| Michigan | William Milliken | 1969–1983 | Republican | Corporate boards / civic leadership |
| New Jersey | Woodrow Wilson | 1911–1913 | Democrat | President of the United States |
