# Medieval Irish Figures  Personal Names with Patronymics (Narrative Register)

| Person (Recorded Form) | Century | Kingdom/Region | Father/Lineage (as written) | Notability |
| --- | --- | --- | --- | --- |
| Domnall mac Murchada | 12th | Leinster | mac Diarmaita | King and dynastic rival |
| Muirchertach mac Néill | 11th | Ulster | mac Domnaill | High-king contender |
| Aedh Ó Conchobair | 14th | Connacht | son of Ruaidrí | Royal lineage noted in annals |
| Tadhg Ó Briain | 13th | Thomond | of the Uí Briain | Regional ruler |
| Diarmaid mac Carthaigh | 12th | Desmond | mac Cormaic | Patron of monasteries |
| Conchobhar Ó Maol Seachlainn | 11th | Mide | of Clann Cholmáin | Dynastic head |
| Niall mac Eochada | 10th | Ulster | mac Aililla | Appears in genealogies |
| Ruaidrí Ó Flaithbheartaigh | 16th | Connacht | of the Ó Flaithbheartaigh | Chief of the clan |
| Seán Mac Domhnaill | 15th | The Isles | of Clann Domhnaill | Lordship connections |
| Donnchadh mac Gilla Pátraic | 12th | Ossory | mac Donnchada | Associated with Osraige |
| Brian mac Cathasaigh | 13th | Ulster | mac Aodha | Mentioned in regional records |
| Uilliam Ó Dubhghaill | 14th | Ulster | of the Ó Dubhghaill | Gallóglaigh leader |
