# Wars Involving the Republic of India (Post-1947) — Timeline Overview

| Period | Conflict | Theater/Region | Main Allies/Partners | Outcome |
|---|---|---|---|---|
| 1947–1948 | First Kashmir War | Kashmir | Jammu & Kashmir forces | Ceasefire (UN-brokered) |
| 1961 | Annexation of Goa | Western India | Indian Armed Forces | Territory integrated |
| 1962 | Sino-Indian War | Himalayan frontier | — | Indian defeat |
| 1965 | Indo-Pakistani War of 1965 | Punjab/Kashmir | — | Tashkent Declaration |
| 1971 | Indo-Pakistani War of 1971 | East Pakistan | Mukti Bahini | Bangladesh independence |
| 1987–1990 | Indian Peace Keeping Force in Sri Lanka | Sri Lanka | Sri Lankan government (initially) | Withdrawal |
| 1999 | Kargil War | Kargil sector | — | Indian victory |
| 2001–present | Insurgency in Jammu and Kashmir | Jammu & Kashmir | Local police/paramilitaries | Ongoing |
| 2020–2021 | Border clashes in Ladakh | Ladakh | — | De-escalation agreements |
| 2023–present | Counter-insurgency operations in Manipur | Northeast India | State forces | Ongoing |
