# State Government Finance Snapshot (Selected States)  Revenues, Expenditures, and Fund Balances

| State | FY | Total revenue (USD) | Total expenditure (USD) | General fund balance (USD) | Notes |
|---|---:|---:|---:|---:|---|
| Texas | 2023 | 271,400,000,000 | 258,900,000,000 | 15,200,000,000 | Includes intergovernmental transfers |
| Florida | 2023 | 128,700,000,000 | 121,900,000,000 | 6,800,000,000 | Excludes local governments |
| New York | 2023 | 229,300,000,000 | 226,500,000,000 | 4,100,000,000 | Budgetary basis summary |
| Illinois | 2023 | 115,600,000,000 | 118,200,000,000 | 1,900,000,000 | One-time federal aid not separated |
| Ohio | 2023 | 112,900,000,000 | 109,700,000,000 | 3,700,000,000 | All funds, budgetary |
| Arizona | 2023 | 64,800,000,000 | 62,400,000,000 | 2,600,000,000 | Year-end estimates |
| Washington | 2023 | 98,500,000,000 | 96,900,000,000 | 3,200,000,000 | Biennium-to-annualized |
| Georgia | 2023 | 78,300,000,000 | 74,600,000,000 | 5,100,000,000 | Includes rainy day fund line item |
| Massachusetts | 2023 | 103,900,000,000 | 102,800,000,000 | 2,800,000,000 | GAAP-to-budget reconciliation omitted |
