# Chinese Baby Names  Meaning-Centered List (No Explicit Origin Column)

| Name | Gender | Meaning | Character Hint |
|---|---|---|---|
| Meilin | Girl | beautiful jade | mei + lin (hint only) |
| Wei | Unisex | greatness; power | common syllable |
| Lijuan | Girl | beautiful and graceful | li + juan |
| Jian | Boy | strong; sturdy | jian (hint only) |
| Xinyi | Girl | joyful heart | xin + yi |
| Ming | Boy | bright; clear | ming |
| Yuhan | Girl | rain and elegance | yu + han |
| Zhiyu | Boy | wise universe | zhi + yu |
| Lan | Girl | orchid | lan |
| Haoran | Boy | grand and righteous | hao + ran |
