# DLNA-Certified TV Models and Supported Media Playback Features

| Brand | Model | DLNA Certified | Video Playback | Audio Playback | Image Playback | Max Resolution | Notes |
|---|---|---|---|---|---|---|---|
| Samsung | UE40D7000 | Yes | Yes | Yes | Yes | 1080p | Plays most common files via network share |
| LG | 42LW6500 | Yes | Yes | Yes | Yes | 1080p | USB and DLNA playback supported |
| Sony | KDL-46EX720 | Yes | Yes | Yes | Yes | 1080p | Bravia Internet Video also included |
| Panasonic | TX-P50GT30 | Yes | Yes | Yes | Yes | 1080p | VIERA Connect apps available |
| Philips | 46PFL8606 | Yes | Yes | Yes | Yes | 1080p | Smart TV features integrated |
| Toshiba | 46TL968 | Yes | Yes | Yes | Yes | 1080p | Built-in Wi‑Fi on some variants |
| Sharp | LC-46LE810 | Yes | Yes | Yes | Yes | 1080p | AquosNet DLNA client |
| Vizio | E421VA | Yes | Yes | Yes | Yes | 1080p | Basic DLNA renderer support |
| Hisense | 50K360G | Yes | Yes | Yes | Yes | 4K (limited) | Format support depends on firmware |
