# Pose Name List with Sanskrit Roots (Etymology Without Same-Pose Pairing)

| English Pose Label (as used in studios) | Sanskrit Root Word | Root Meaning | Comment |
| --- | --- | --- | --- |
| Warrior Pose | vira | hero/warrior | root only, not full asana name |
| Chair Pose | utkata | fierce/powerful | missing full term |
| Triangle Pose | trikona | triangle | root only |
| Boat Pose | nava | boat | root only |
| Bridge Pose | setu | bridge | root only |
| Fish Pose | matsya | fish | root only |
| Garland Pose | mala | garland | root only |
| Crow Pose | baka | crane/crow | root only |
| Seated Twist | parivrtta | revolved | not a specific pose name |
| Child's Pose | bala | child | root only |
