# Major and Minor Element Abundances in the Earth's Continental Crust (wt.%)

| Rank | Element | Symbol | Abundance (wt.%) | Category |
|---:|---|---|---:|---|
| 1 | Oxygen | O | 46.6 | Major |
| 2 | Silicon | Si | 27.7 | Major |
| 3 | Aluminum | Al | 8.1 | Major |
| 4 | Iron | Fe | 5.0 | Major |
| 5 | Calcium | Ca | 3.6 | Major |
| 6 | Sodium | Na | 2.8 | Major |
| 7 | Potassium | K | 2.6 | Major |
| 8 | Magnesium | Mg | 2.1 | Major |
| 9 | Titanium | Ti | 0.44 | Minor |
| 10 | Hydrogen | H | 0.14 | Minor |
| 11 | Phosphorus | P | 0.11 | Minor |
| 12 | Manganese | Mn | 0.10 | Minor |
