# Routing Numbers by Transfer Type (ACH vs Wire vs Checks)

| Bank Name | State/Region | Transfer Type | Routing Number | Processing Flag |
| --- | --- | --- | --- | --- |
| JPMorgan Chase Bank, N.A. | New Jersey | ACH | 021202337 | ACH Supported |
| JPMorgan Chase Bank, N.A. | New Jersey | Wire | 021202337 | Wire Supported |
| Wells Fargo Bank | Massachusetts | ACH | 121042882 | ACH Supported |
| Wells Fargo Bank | Massachusetts | Wire | 121042882 | Wire Supported |
| BBVA Compass | Texas | ACH | 113010547 | ACH Supported |
| BBVA Compass | Texas | Wire | 113010547 | Wire Supported |
| Bank of New York Mellon | Pennsylvania | Checks | 011302920 | Paper item routing |
| Bank of New York Mellon | Pennsylvania | Wire | 021000018 | Wire Supported |
| U.S. Bank | National | ACH | 082000549 | ACH Supported |
| U.S. Bank | National | Wire | 082000549 | Wire Supported |
