# Celebrity Astrology Page Index (Non-Chart)  Famous Names with Sun Sign and Sign Traits Summary

| Celebrity | Reported Sun Sign | Generic Sign Keywords | Compatibility Notes | Famous-For |
| --- | --- | --- | --- | --- |
| Taylor Swift | Sagittarius | adventurous, optimistic | best with Aries/Leo | music |
| Beyoncé | Virgo | precise, grounded | best with Taurus/Capricorn | music |
| Leonardo DiCaprio | Scorpio | intense, private | best with Cancer/Pisces | film |
| Rihanna | Pisces | dreamy, artistic | best with Scorpio/Cancer | music |
| Keanu Reeves | Virgo | practical, modest | best with Taurus/Capricorn | film |
| Kim Kardashian | Libra | social, aesthetic | best with Gemini/Aquarius | media |
| Oprah Winfrey | Aquarius | visionary, independent | best with Gemini/Libra | television |
| Cristiano Ronaldo | Aquarius | progressive, driven | best with Gemini/Libra | sports |
| Angelina Jolie | Gemini | curious, adaptable | best with Libra/Aquarius | film |
| Justin Bieber | Pisces | sensitive, romantic | best with Cancer/Scorpio | music |
