# Endorsements for the Liberal Party of Canada leadership election , 2006
> Registered candidates

| Person or organization | Notes | Reference |
| --- | --- | --- |
| Allan Armsworthy* | President, Central Nova Riding Association, Nova Scotia | [ citation needed ] |
| Gail Asper | Director and Corporate Secretary of CanWest Global | [1] |
| Scott Brison * | Member of Parliament for Kings—Hants | [2] |
| Dianne Brushett * | President, Cumberland-Colchester-Musquodoboit Riding Association, Nova Scotia | [ citation needed ] |
| Ryan Buffalo | Vice-President (Youth), Alberta Aboriginal Peoples Commission | [ citation needed ] |
| T.J. Burke | Member of the Legislative Assembly, New Brunswick | [ citation needed ] |
| Mike Burton* | President, Regina Qu’Appelle Riding Association, Saskatchewan | [ citation needed ] |
| George Cameron | Past Provincial Liberal Candidate, Saskatchewan | [ citation needed ] |
| Hilary Casey* | President of the New Brunswick Young Liberals | [ citation needed ] |
| Jim Cowan * | Senator for Nova Scotia | [3] |
| Jane Cordy * | Senator for Nova Scotia | [4] |
| Joseph A. Day * | Senator for New Brunswick | [5] |
| Richard Diamond* | President of the Young Liberals of Canada | [6] |
| Autumn EagleSpeaker* | President, Alberta, Aboriginal People's Commission | [7] |
| Chris Emanuel | Central Region President, Liberal Party of Canada (Ontario) | [ citation needed ] |
| Mark Eyking * | Member of Parliament for Sydney—Victoria | [8] |
| Bill Fleming* | Past Candidate, Sackville Eastern Shore, Nova Scotia | [ citation needed ] |
| Ryan Francis* | President, Nova Scotia Aboriginal Peoples Commission | [ citation needed ] |
| Josh Fraser* | Vice-President (Youth) Aboriginal People's Commission | [9] |
| George Furey * | Senator for Newfoundland | [ citation needed ] |
| Joe Gillis* | President, Sydney—Victoria Riding Association, Nova Scotia | [ citation needed ] |
| John Gillis | Vice-President, Nova Scotia Liberal Party | [ citation needed ] |
| Darian Huskilson* | 2006 Election Candidate for South Shore—St. Margaret's , Nova Scotia | [ citation needed ] |
| Jim Kane* | President, Edmonton Centre Riding Association, Alberta | [ citation needed ] |
| Michael Kirby * | Senator for Nova Scotia | [10] |
| Mike MacKenzie* | President, Kings—Hants Riding Association, Nova Scotia | [ citation needed ] |
| Martin MacKinnon* | 2006 Election Candidate for Halifax , Nova Scotia | [ citation needed ] |
| Frank McKenna * | Former Premier of New Brunswick | [ citation needed ] |
| Wilfred Moore * | Senator for Nova Scotia | [11] |
| Shawn Murphy * | Member of Parliament for Charlottetown | [12] |
| Rey Pagtakhan * | Former Minister under Jean Chrétien , and Paul Martin , Former Member of Parliament for Winnipeg North and Winnipeg North—St. Paul | [13] |
| Eric Peterson* | President, Toronto Centre Riding Association, Ontario | [ citation needed ] |
| Gerard Phalen * | Senator for Nova Scotia | [14] |
| Gary Richard* | 2006 Election Candidate for Cumberland Colchester, Nova Scotia | [ citation needed ] |
| Charlie Rutt* | President, Sackville Eastern Shore Riding Association, Nova Scotia | [ citation needed ] |
| Michael Savage * | Member of Parliament for Dartmouth—Cole Harbour | [15] |
| Carolyn Scott | Vice-President (Federal) Nova Scotia Liberal Party | [ citation needed ] |
| Jane Spurr* | President, Halifax Riding Association, Nova Scotia | [ citation needed ] |
| Pat Thomas* | President, Edmonton—Leduc Riding Association, Alberta | [ citation needed ] |
| Danny Walsh* | 2006 Election Candidate for Central Nova , Nova Scotia | [ citation needed ] |
| Derek Wells * | President, Nova Scotia Liberal Party | [ citation needed ] |
| Cindy Woodhouse* | Vice-President (Communications) Aboriginal People's Commission | [16] |
