# Chinese Zodiac Animals  Traits, Elements, and Lucky Items (General Guide)

| Animal | Earthly Branch | Yin/Yang | Fixed Element | Common Traits | Lucky Numbers | Lucky Colors |
|---|---|---|---|---|---|---|
| Rat | Zi | Yang | Water | quick-witted, adaptable | 2, 3 | blue, gold |
| Ox | Chou | Yin | Earth | diligent, reliable | 1, 9 | white, green |
| Tiger | Yin | Yang | Wood | bold, competitive | 3, 4 | orange, gray |
| Rabbit | Mao | Yin | Wood | gentle, diplomatic | 3, 6 | pink, purple |
| Dragon | Chen | Yang | Earth | charismatic, confident | 1, 6 | gold, red |
| Snake | Si | Yin | Fire | strategic, private | 2, 8 | black, red |
| Horse | Wu | Yang | Fire | energetic, freedom-loving | 2, 7 | yellow, green |
| Goat | Wei | Yin | Earth | artistic, empathetic | 3, 9 | green, brown |
| Monkey | Shen | Yang | Metal | clever, playful | 4, 9 | white, blue |
| Rooster | You | Yin | Metal | precise, outspoken | 5, 7 | gold, brown |
| Dog | Xu | Yang | Earth | loyal, protective | 3, 4 | red, green |
| Pig | Hai | Yin | Water | generous, calm | 2, 5 | yellow, gray |
