# Planetary Dignities by Sign  Exaltations, Detriments, and Falls (Reference Table)

| Sign | Planet in Domicile | Planet in Exaltation | Planet in Detriment | Planet in Fall |
| --- | --- | --- | --- | --- |
| Aries | Mars | Sun | Venus | Saturn |
| Taurus | Venus | Moon | Mars/Pluto | null |
| Gemini | Mercury | null | Jupiter | null |
| Cancer | Moon | Jupiter | Saturn | Mars |
| Leo | Sun | null | Saturn/Uranus | null |
| Virgo | Mercury | Mercury (trad.) | Jupiter/Neptune | Venus |
| Libra | Venus | Saturn | Mars | Sun |
| Scorpio | Mars/Pluto | null | Venus | Moon |
| Sagittarius | Jupiter | null | Mercury | null |
| Capricorn | Saturn | Mars | Moon | Jupiter |
| Aquarius | Saturn/Uranus | null | Sun | null |
| Pisces | Jupiter/Neptune | Venus | Mercury | Mercury (trad.) |
