# Upcoming Ex-Dividend Schedule (ASX & ETFs) — Single Next Ex-Date per Code

| ASX Code | Security Name | Type | Upcoming Ex-Dividend Date |
|---|---|---|---|
| CBA | Commonwealth Bank of Australia | Equity | 2026-02-18 |
| WBC | Westpac Banking Corporation | Equity | 2026-02-20 |
| ANZ | Australia and New Zealand Banking Group | Equity | 2026-02-21 |
| BHP | BHP Group Ltd | Equity | 2026-03-05 |
| TLS | Telstra Group Ltd | Equity | 2026-02-24 |
| WOW | Woolworths Group Ltd | Equity | 2026-02-27 |
| IAG | Insurance Australia Group Ltd | Equity | 2026-02-25 |
| VAS | Vanguard Australian Shares Index ETF | ETF | 2026-03-18 |
| VTS | Vanguard US Total Market Shares Index ETF | ETF | 2026-03-16 |
