# Elemental Abundance in the Earth's Crust (Reported as Oxide-Equivalent)

| Element | Symbol | Reported form | Oxide-equivalent wt% in crust | Conversion basis |
|---|---|---|---:|---|
| Silicon | Si | as SiO2 | 60.6 | Si reported via silica content |
| Aluminum | Al | as Al2O3 | 15.9 | Al reported via alumina |
| Calcium | Ca | as CaO | 6.4 | Ca reported via lime |
| Magnesium | Mg | as MgO | 4.7 | Mg reported via magnesia |
| Iron | Fe | as FeO + Fe2O3 | 6.6 | total iron as oxides |
| Sodium | Na | as Na2O | 3.1 | alkali oxide basis |
| Potassium | K | as K2O | 2.9 | alkali oxide basis |
| Titanium | Ti | as TiO2 | 0.7 | titania basis |
| Phosphorus | P | as P2O5 | 0.2 | phosphate oxide basis |
| Manganese | Mn | as MnO | 0.1 | minor oxide |
| Sulfur | S | as SO3 | 0.1 | sulfate oxide basis |
| Carbon | C | as CO2 | 0.2 | carbonate CO2 equivalent |
