# Texas ZIP Codes with Explicit ZIP Type Labels — Sample Statewide Coverage

| ZIP Code | ZIP Type | Primary Place (City) | County | Coverage Hint |
|---|---|---|---|---|
| 73301 | Unique | Austin | Travis County | Large-organization/agency ZIP |
| 73344 | Unique | Austin | Travis County | Special-use ZIP |
| 75001 | Standard | Addison | Dallas County | Regular delivery area |
| 75201 | Standard | Dallas | Dallas County | Downtown Dallas |
| 75260 | PO Box | Dallas | Dallas County | PO Box–only ZIP |
| 77002 | Standard | Houston | Harris County | Central Houston |
| 77005 | Standard | Houston | Harris County | West University area |
| 77030 | Standard | Houston | Harris County | Texas Medical Center area |
| 77201 | PO Box | Houston | Harris County | PO Box–only ZIP |
| 78205 | Standard | San Antonio | Bexar County | Downtown San Antonio |
| 78280 | Unique | San Antonio | Bexar County | Organization-specific ZIP |
| 78701 | Standard | Austin | Travis County | Downtown Austin |
| 78710 | PO Box | Austin | Travis County | PO Box–only ZIP |
| 79901 | Standard | El Paso | El Paso County | Central El Paso |
