# Big Truck ( horse )
> Races

| Finish | Race | Distance | Track | Date | Jockey |
| --- | --- | --- | --- | --- | --- |
| 1st | Maiden Special Weight | 6.5 Furlongs | Saratoga Race Course | August 23, 2007 | Ramon A. Dominguez |
| 1st | Bertram F. Bongard Stakes | 7 Furlongs | Belmont Park | September 23, 2007 | Ramon A. Dominguez |
| 3rd | Sleepy Hollow Stakes | One Mile | Belmont Park | October 20, 2007 | Ramon A. Dominguez |
| 4th | Remsen Stakes | One Mile and an Eighth | Aqueduct Racetrack | November 24, 2007 | Alan Garcia |
| 5th | Hutchenson Stakes | 7 Furlongs | Gulfstream Park | January 6, 2008 | Javier Castellano |
| 2nd | Sam F. Davis Stakes | One Mile and a Sixteenth | Tampa Bay Downs | February 16, 2008 | Eibar Coa |
| 1st | Tampa Bay Derby | One Mile and a Sixteenth | Tampa Bay Downs | March 15, 2008 | Eibar Coa |
| 11th | Bluegrass Stakes | One Mile and an Eighth | Keeneland Race Course | April 12, 2008 | Eibar Coa |
| 18th | Kentucky Derby | One Mile and a Quarter | Churchill Downs | May 3, 2008 | Javier Castellano |
| 3rd | Albany Stakes | One Mile and an Eighth | Saratoga Race Course | August 20, 2008 | Eibar Coa |
