# Essential amino acid
> Minimum daily intake

| Amino acid(s) | mg per kg body weight | mg per 70 kg | mg per 100 kg |
| --- | --- | --- | --- |
| H Histidine | 10 | 700 | 1000 |
| I Isoleucine | 20 | 1400 | 2000 |
| L Leucine | 39 | 2730 | 3900 |
| K Lysine | 30 | 2100 | 3000 |
| M Methionine + C Cysteine | 10.4 + 4.1 (15 total) | 1050 | 1500 |
| F Phenylalanine + Y Tyrosine | 25 (total) | 1750 | 2500 |
| T Threonine | 15 | 1050 | 1500 |
| W Tryptophan | 4 | 280 | 400 |
| V Valine | 26 | 1820 | 2600 |
