# Battles Since 2001 (Selected)  Global Conflicts Timeline (Not Limited to U.S.-Involved Actions)

| Battle/Operation | Date | Location | Main Parties | Brief Outcome/Description |
| --- | --- | --- | --- | --- |
| Operation Anaconda | 1–19 Mar 2002 | Shah-i-Kot Valley, Afghanistan | U.S./Coalition vs Taliban/al-Qaeda | Coalition clears positions with heavy fighting |
| Battle of Jenin | 3–11 Apr 2002 | Jenin, West Bank | Israel vs Palestinian militants | Israeli forces take control after urban combat |
| Operation Defensive Shield | 29 Mar–3 May 2002 | West Bank | Israel vs Palestinian factions | Large Israeli operation; infrastructure degraded |
| Battle of Grozny (Second) | 1999–2000 | Grozny, Chechnya | Russia vs Chechen forces | Russian forces capture city |
| Battle of Marawi | May–Oct 2017 | Marawi, Philippines | Philippines vs ISIS-linked militants | City retaken after prolonged siege |
| Battle of Mosul | Oct 2016–Jul 2017 | Mosul, Iraq | Iraq/Coalition vs ISIS | ISIS driven out; major destruction |
| Battle of Aleppo | 2012–2016 | Aleppo, Syria | Syrian govt/Russia vs opposition | Government recaptures eastern Aleppo |
| Battle of Donetsk Airport | 2014–2015 | Donetsk, Ukraine | Ukraine vs separatists | Airport falls to separatists |
| Kargil War (operations) | May–Jul 1999 | Kargil, India | India vs Pakistan | India regains positions |
| Battle of Sadr City | Mar–May 2008 | Baghdad, Iraq | Iraq/U.S. vs Mahdi Army | Ceasefire after clashes; control consolidated |
