# # Production Car Acceleration (Metric Headline)  0–100 km h figures only

| Make | Model/Trim | Model year | Acceleration 0–100 km/h (s) | Top speed | Notes |
| --- | --- | --- | --- | --- | --- |
| Lamborghini | Countach LP400 S | 1978 | 5.9 | 254 km/h (158 mph) | Factory spec summary |
| Lamborghini | Countach LP500 S | 1982 | 5.4 | 257 km/h (160 mph) | Period road test figure |
| BMW | X3 xDrive35d (F25) | 2011 | 5.8 | 244 km/h (152 mph) | Diesel performance SUV |
| BMW | X3 xDrive30d (F25) | 2011 | 6.2 | 230 km/h (143 mph) | Diesel variant |
| Mercedes-Benz | CLS 320 CDI (W219) | 2004 | 6.7 | 250 km/h (155 mph) | 0–100 km/h listed as 62 mph |
| Lancia | Dedra 1.8 16v | 1992 | 10.3 | 191 km/h (119 mph) | Compact sedan |
| Lancia | Dedra 1.6 | 1990 | 13.4 | 180 km/h (112 mph) | Base engine |
| Jaguar | XKE Series III V12 | 1971 | 6.9 | 217 km/h (135 mph) | Metric conversion estimate |
| Aston Martin | Vanquish (2014+) | 2014 | 3.7 | 324 km/h (201 mph) | Metric-only reporting |
| Lincoln | Continental Mark IV | 1972 | 11.0 | 190 km/h (120 mph) | Approx. metric figure |
