# Venomous Snakes of Arizona (USA) — Species and In‑State Occurrence

| Family | Scientific name | Common name | Primary in-state range (Arizona) | Typical habitats / notes |
| --- | --- | --- | --- | --- |
| Viperidae | Crotalus atrox | Western diamondback rattlesnake | South & central deserts; common in low elevations | Sonoran desert scrub, rocky washes, grassland edges |
| Viperidae | Crotalus scutulatus | Mojave rattlesnake | West & central; desert basins and foothills | Creosote flats, Joshua tree zones; often near open desert |
| Viperidae | Crotalus cerberus | Arizona black rattlesnake | Central highlands; Mogollon Rim mountains | Pine-oak woodland, rocky canyons (mid–high elevation) |
| Viperidae | Crotalus mitchellii | Speckled rattlesnake | Western & southwestern; arid rocky slopes | Boulders, desert mountains, rock piles |
| Viperidae | Crotalus molossus | Black-tailed rattlesnake | Southeastern “Sky Islands” and adjacent ranges | Oak woodland, canyon slopes; mid elevations |
| Viperidae | Crotalus willardi | Ridge-nosed rattlesnake | Southeastern & south-central mountain ranges | Pine-oak forests in higher elevations; localized |
| Viperidae | Crotalus pricei | Twin-spotted rattlesnake | High elevations in southeastern mountains | Cool conifer forest, talus slopes; patchy distribution |
| Viperidae | Crotalus lepidus | Rock rattlesnake | East & southeast rocky ranges | Limestone/rock outcrops; upland slopes |
| Viperidae | Crotalus tigris | Tiger rattlesnake | South-central deserts (Sonoran) | Desert scrub, rocky bajadas; often near saguaro areas |
| Viperidae | Crotalus viridis | Prairie rattlesnake | Northeastern plateau and grasslands | Shortgrass prairie, open rangeland |
| Elapidae | Micruroides euryxanthus | Sonoran coral snake | Southern third; scattered in desert & thornscrub | Under leaf litter/rocks; less often seen |
| Viperidae | Agkistrodon contortrix | Copperhead | Isolated in east-central canyons near permanent water | Riparian corridors; very localized in the state |
