# Dallas Cowboys 2020 Salary Cap Snapshot (Team Totals + Top Contracts)

| Category | Amount | Notes |
| --- | ---: | --- |
| League Salary Cap (2020) | $198,200,000 | NFL-wide cap figure |
| Team Cap Space (Estimated) | $8,750,000 | Before in-season adjustments |
| Total Liabilities/Commitments | $189,450,000 | Active + dead money + reserves |
| Dead Money | $21,300,000 | Accelerations & guarantees |
| Injured Reserve Commitments | $6,200,000 | Players on IR |
| Practice Squad Commitments | $2,450,000 | Weekly squad costs |
| Top Cap Hit: Dak Prescott | $31,400,000 | QB |
| Top Cap Hit: Amari Cooper | $22,300,000 | WR |
| Top Cap Hit: DeMarcus Lawrence | $20,100,000 | EDGE |
| Top Cap Hit: Zack Martin | $14,900,000 | G |
