# Xbox 360 System Link Games — Mixed With Xbox One Backward Compatibility Notes

| Title | Xbox 360 System Link | Total players | Per console | Also Xbox One Backward Compatible | Notes |
|---|---:|---:|---:|---:|---|
| Halo 3 | Yes | 16 | 1 | Yes | Popular LAN shooter |
| Gears of War | Yes | 8 | 1 | Yes | Co-op and versus |
| Forza Motorsport 2 | Yes | 8 | 1 | No | LAN racing |
| Call of Duty 4: Modern Warfare | Yes | 18 | 1 | Yes | Includes private matches |
| Left 4 Dead | Yes | 8 | 1 | Yes | Split-screen varies |
| Borderlands | Yes | 4 | 2 | Yes | Co-op focus |
| Assassin's Creed II | No | 1 | 1 | Yes | Single-player action |
| Banjo-Kazooie | No | 1 | 1 | Yes | Back-compat platformer |
| Asteroids & Deluxe | No | 2 | 1 | Yes | Arcade title |
| Babel Rising | No | 4 | 1 | Yes | Xbox Live Arcade |
| Red Dead Redemption | No | 16 | 1 | Yes | Online only (no LAN) |
