# Selected Cruise Lines by Operating Status and Headquarters (Clean Roster)

| Region | Cruise line | Status | Headquarters (city, country) | Notes |
| --- | --- | --- | --- | --- |
| North America | Norwegian Cruise Line (NCL) | Operating | Miami, United States | Contemporary ocean cruising |
| North America | Celebrity Cruises | Operating | Miami, United States | Premium brand within a larger cruise group |
| North America | Oceania Cruises | Operating | Miami, United States | Upper-premium; known for longer itineraries |
| North America | Disney Cruise Line | Operating | Celebration, United States | Family-focused ocean cruise line |
| Europe | MSC Cruises | Operating | Geneva, Switzerland | Global ocean cruising; European roots |
| Europe | AIDA Cruises | Operating | Rostock, Germany | German-market focused line |
| Europe | Costa Cruises | Operating | Genoa, Italy | Italian line; mass-market cruising |
| Europe | P&O Cruises (UK) | Operating | Southampton, United Kingdom | UK-market focused line |
| Asia | Star Cruises | Not operating (defunct) | Kuala Lumpur, Malaysia | Brand ceased operations; historical operator in Asia |
| North America | Cruise & Maritime Voyages (CMV) | Not operating (defunct) | Purfleet, United Kingdom | Company entered administration; brand no longer operating |
| Europe | Pullmantur Cruises | Not operating (defunct) | Madrid, Spain | Spanish-market line; operations discontinued |
| North America | Pacific Delight Tours (Cruise West) | Not operating (defunct) | Seattle, United States | Small-ship operator; ceased operations |
| Global (Expedition) | Hurtigruten Expeditions | Operating | Tromsø, Norway | Expedition cruising arm; global destinations |
