# 1960 NBA draft
> Draft

| Round | Pick | Player | Position | Nationality | Team | School/club team |
| --- | --- | --- | --- | --- | --- | --- |
| 0 T /1 | 1 | Robertson, Oscar Oscar Robertson ^ | G/F | United States | Cincinnati Royals | Cincinnati |
| 1 | 2 | West, Jerry Jerry West ^ | G/F | United States | Minneapolis Lakers | West Virginia |
| 1 | 3 | Imhoff, Darrall Darrall Imhoff + | C | United States | New York Knicks | California |
| 1 | 4 | Moreland, Jackie Jackie Moreland | G/F | United States | Detroit Pistons | Louisiana Tech |
| 1 | 5 | Shaffer, Lee Lee Shaffer + | F | United States | Syracuse Nationals | North Carolina |
| 1 | 6 | Wilkens, Lenny Lenny Wilkens ^ | G | United States | St. Louis Hawks | Providence |
| 1 | 7 | Bunge, Al Al Bunge # | F | United States | Philadelphia Warriors | Maryland |
| 1 | 8 | Sanders, Tom Tom Sanders | F | United States | Boston Celtics | NYU |
| 2 | 9 | Arnette, Jay Jay Arnette | G | United States | Cincinnati Royals | Texas |
| 2 | 10 | Budd, Dave Dave Budd | F | United States | New York Knicks (from Minneapolis ) [a] | Wake Forest |
| 2 | 11 | Coleman, Kelly Kelly Coleman # | G | United States | New York Knicks | Kentucky Wesleyan |
| 2 | 12 | Johnson, Ron Ron Johnson | F | United States | Detroit Pistons | Minnesota |
| 2 | 13 | Trosch, Wilbur Wilbur Trosch # | C | United States | Syracuse Nationals | Saint Francis (PA) |
| 2 | 14 | Radovich, Frank Frank Radovich | F | United States | St. Louis Hawks | Indiana |
| 2 | 15 | Kennedy, Bill Bill Kennedy | G | United States | Philadelphia Warriors | Temple |
| 2 | 16 | Wright, Leroy Leroy Wright # | F | United States | Boston Celtics | Pacific |
