# Biblical Names and Their Etymological Roots (Definitions Not Given)

| Name | Gender | Root Elements | Transliteration | Related Language |
| --- | --- | --- | --- | --- |
| Elijah | Boy | ʾEl + YHWH | ʾEliyahu | Hebrew |
| Isaiah | Boy | yashaʿ + YHWH | Yeshayahu | Hebrew |
| Jeremiah | Boy | yirmeyahu (root noted) | Yirmeyahu | Hebrew |
| Abigail | Girl | ʾavi + gail | ʾAvigayil | Hebrew |
| Daniel | Boy | dan + ʾel | Daniyyel | Hebrew |
| Miriam | Girl | uncertain root | Miryam | Hebrew |
| Zachariah | Boy | zakar + YHWH | Zekharyah | Hebrew |
| Tabitha | Girl | loanword noted | Tabitha | Aramaic/Greek |
| Nathaniel | Boy | natan + ʾel | Netanʾel | Hebrew |
| Rebecca | Girl | root disputed | Rivqah | Hebrew |
