# Selected Antidiabetic Drug Classes with Example Medications (Generic vs Brand)

| Drug Class | Generic Name (Medication) | Brand Name(s) | Route / Form |
| --- | --- | --- | --- |
| Biguanide | metformin | Glucophage | Oral tablet |
| Sulfonylurea | glipizide | Glucotrol | Oral tablet |
| Sulfonylurea | glyburide | DiaBeta, Micronase | Oral tablet |
| DPP-4 inhibitor | sitagliptin | Januvia | Oral tablet |
| GLP-1 receptor agonist | semaglutide | Ozempic, Rybelsus | Injection (Ozempic), oral (Rybelsus) |
| GLP-1 receptor agonist | liraglutide | Victoza | Injection |
| SGLT2 inhibitor | empagliflozin | Jardiance | Oral tablet |
| SGLT2 inhibitor | dapagliflozin | Farxiga | Oral tablet |
| Thiazolidinedione (TZD) | pioglitazone | Actos | Oral tablet |
| Meglitinide | repaglinide | Prandin | Oral tablet |
| Basal insulin | insulin glargine | Lantus, Basaglar | Injection |
| Rapid-acting insulin | insulin lispro | Humalog | Injection |
