# Ricky Williams
> Professional career

| Year | Team | Games | Carries | Yards | Yards per Carry | Longest Carry | Touchdowns | First Downs | Fumbles | Fumbles Lost |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| 1999 | NO | 12 | 253 | 884 | 3.5 | 25 | 2 | 45 | 6 | 3 |
| 2000 | NO | 10 | 248 | 1,000 | 4.0 | 26 | 8 | 56 | 6 | 3 |
| 2001 | NO | 16 | 313 | 1,245 | 4.0 | 46 | 6 | 58 | 6 | 2 |
| 2002 | MIA | 16 | 383 | 1,853 | 4.8 | 63 | 16 | 89 | 7 | 5 |
| 2003 | MIA | 16 | 392 | 1,372 | 3.5 | 45 | 9 | 68 | 4 | 4 |
| 2005 | MIA | 12 | 168 | 743 | 4.4 | 35 | 6 | 37 | 1 | 1 |
| 2007 | MIA | 1 | 6 | 15 | 2.5 | 6 | 0 | 2 | 1 | 1 |
| 2008 | MIA | 16 | 160 | 659 | 4.1 | 51 | 4 | 35 | 4 | 2 |
| 2009 | MIA | 16 | 241 | 1,121 | 4.7 | 68 | 11 | 55 | 4 | 2 |
| 2010 | MIA | 16 | 159 | 673 | 4.2 | 45 | 2 | 26 | 4 | 2 |
| 2011 | BAL | 16 | 108 | 444 | 4.1 | 28 | 2 | 20 | 2 | 2 |
| Career |  | 147 | 2,431 | 10,009 | 4.1 | 68 | 66 | 491 | 45 | 29 |
