# UFC Current Champions by Division (Snapshot with  Since  Date)

| Division | Champion | Since | Status |
|---|---|---|---|
| Heavyweight | Stipe Miocic | May 14, 2016 | Undisputed |
| Light Heavyweight | Daniel Cormier | May 23, 2015 | Undisputed |
| Middleweight | Michael Bisping | Jun 4, 2016 | Undisputed |
| Welterweight | Robbie Lawler | Dec 6, 2014 | Undisputed |
| Lightweight | Rafael dos Anjos | Mar 14, 2015 | Undisputed |
| Featherweight | Conor McGregor | Dec 12, 2015 | Undisputed |
| Bantamweight | Dominick Cruz | Jan 17, 2016 | Undisputed |
| Flyweight | Demetrious Johnson | Sep 22, 2012 | Undisputed |
| Women's Strawweight | Joanna Jedrzejczyk | Mar 14, 2015 | Undisputed |
