# Legislative Assembly of Manitoba
> Current members

|  | Member | Party | Constituency |
| --- | --- | --- |
|  | Allum, James James Allum | New Democratic | Fort Garry-Riverview |
|  | Altemeyer, Rob Rob Altemeyer | New Democratic | Wolseley |
|  | Bindle, Kelly Kelly Bindle | Progressive Conservative | Thompson |
|  | Chief, Kevin Kevin Chief | New Democratic | Point Douglas |
|  | Clarke, Eileen Eileen Clarke | Progressive Conservative | Agassiz |
|  | Cox, Cathy Cathy Cox | Progressive Conservative | River East |
|  | Cullen, Cliff Cliff Cullen | Progressive Conservative | Spruce Woods |
|  | Curry, Nic Nic Curry | Progressive Conservative | Kildonan |
|  | Driedger, Myrna Myrna Driedger † | Progressive Conservative | Charleswood |
|  | Eichler, Ralph Ralph Eichler | Progressive Conservative | Lakeside |
|  | Ewasko, Wayne Wayne Ewasko | Progressive Conservative | Lac Du Bonnet |
|  | Fielding, Scott Scott Fielding | Progressive Conservative | Kirkfield Park |
|  | Fletcher, Steven Steven Fletcher | Progressive Conservative | Assiniboia |
|  | Fontaine, Nahanni Nahanni Fontaine | New Democratic | St. Johns |
|  | Friesen, Cameron Cameron Friesen | Progressive Conservative | Morden-Winkler |
|  | Gerrard, Jon Jon Gerrard | Liberal | River Heights |
|  | Goertzen, Kelvin Kelvin Goertzen | Progressive Conservative | Steinbach |
|  | Graydon, Cliff Cliff Graydon | Progressive Conservative | Emerson |
|  | Guillemard, Sarah Sarah Guillemard | Progressive Conservative | Fort Richmond |
|  | Helwer, Reg Reg Helwer | Progressive Conservative | Brandon West |
|  | Isleifson, Len Len Isleifson | Progressive Conservative | Brandon East |
|  | Johnson, Derek Derek Johnson | Progressive Conservative | Interlake |
|  | Johnston, Scott Scott Johnston | Progressive Conservative | St. James |
|  | Kinew, Wab Wab Kinew | New Democratic | Fort Rouge |
|  | Klassen, Judy Judy Klassen | Liberal | Kewatinook |
|  | Lagassé, Bob Bob Lagassé | Progressive Conservative | Dawson Trail |
|  | Lagimodiere, Alan Alan Lagimodiere | Progressive Conservative | Selkirk |
|  | Lamoureux, Cindy Cindy Lamoureux | Liberal | Burrows |
|  | Lathlin, Amanda Amanda Lathlin | New Democratic | The Pas |
|  | Lindsey, Tom Tom Lindsey | New Democratic | Flin Flon |
|  | Maloway, Jim Jim Maloway | New Democratic | Elmwood |
|  | Marcelino, Flor Flor Marcelino | New Democratic | Logan |
|  | Marcelino, Ted Ted Marcelino | New Democratic | Tyndall Park |
|  | Martin, Shannon Shannon Martin | Progressive Conservative | Morris |
|  | Mayer, Colleen Colleen Mayer | Progressive Conservative | St. Vital |
|  | Michaleski, Brad Brad Michaleski | Progressive Conservative | Dauphin |
|  | Micklefield, Andrew Andrew Micklefield | Progressive Conservative | Rossmere |
|  | Morley-Lecomte, Janice Janice Morley-Lecomte | Progressive Conservative | Seine River |
|  | Nesbitt, Greg Greg Nesbitt | Progressive Conservative | Riding Mountain |
|  | Pallister, Brian Brian Pallister | Progressive Conservative | Fort Whyte |
|  | Pedersen, Blaine Blaine Pedersen | Progressive Conservative | Midland |
|  | Piwniuk, Doyle Doyle Piwniuk | Progressive Conservative | Arthur-Virden |
|  | Reyes, Jon Jon Reyes | Progressive Conservative | St. Norbert |
|  | Saran, Mohinder Mohinder Saran | New Democratic | The Maples |
|  | Schuler, Ron Ron Schuler | Progressive Conservative | St. Paul |
|  | Selinger, Greg Greg Selinger | New Democratic | St. Boniface |
|  | Smith, Andrew Andrew Smith | Progressive Conservative | Southdale |
|  | Smook, Dennis Dennis Smook | Progressive Conservative | La Verendrye |
|  | Squires, Rochelle Rochelle Squires | Progressive Conservative | Riel |
|  | Stefanson, Heather Heather Stefanson | Progressive Conservative | Tuxedo |
|  | Swan, Andrew Andrew Swan | New Democratic | Minto |
|  | Teitsma, James James Teitsma | Progressive Conservative | Radisson |
|  | Wharton, Jeff Jeff Wharton | Progressive Conservative | Gimli |
|  | Wiebe, Matt Matt Wiebe | New Democratic | Concordia |
|  | Wishart, Ian Ian Wishart | Progressive Conservative | Portage la Prairie |
|  | Wowchuk, Rick Rick Wowchuk | Progressive Conservative | Swan River |
|  | Yakimoski, Blair Blair Yakimoski | Progressive Conservative | Transcona |
