# 1950 NBA draft
> Draft

| Round | Pick | Player | Position | Nationality | Team | College |
| --- | --- | --- | --- | --- | --- | --- |
| 0 T | 00 – | Arizin, Paul Paul Arizin ^ | G/F | United States | Philadelphia Warriors | Villanova |
| 1 | 0 1 | Share, Chuck Chuck Share | C | United States | Boston Celtics | Bowling Green |
| 1 | 0 2 | Rehfeldt, Don Don Rehfeldt | F | United States | Baltimore Bullets | Wisconsin |
| 1 | 0 3 | Cousy, Bob Bob Cousy ^ | G | United States | Tri-Cities Blackhawks | Holy Cross |
| 1 | 0 4 | Schnittker, Dick Dick Schnittker | F | United States | Washington Capitols | Ohio State |
| 1 | 0 5 | Foust, Larry Larry Foust * | F/C | United States | Chicago Stags | La Salle |
| 1 | 0 6 | Dambrot, Irwin Irwin Dambrot # | F | United States | New York Knicks | CCNY |
| 1 | 0 7 | Yardley, George George Yardley ^ | G/F | United States | Fort Wayne Pistons | Stanford |
| 1 | 0 8 | Lavoy, Bob Bob Lavoy | F/C | United States | Indianapolis Olympians | Western Kentucky |
| 1 | 0 9 | McNamee, Joe Joe McNamee | F/C | United States | Rochester Royals | San Francisco |
| 1 | 10 | O'Shea, Kevin Kevin O'Shea | G | United States | Minneapolis Lakers | Notre Dame |
| 1 | 11 | Lofgran, Don Don Lofgran | F/C | United States | Syracuse Nationals | San Francisco |
| 2 | 12 | Cooper, Chuck Chuck Cooper | F | United States | Boston Celtics | Duquesne |
| 2 | 13 | Pilch, John John Pilch | F | United States | Baltimore Bullets | Wyoming |
| 2 | 14 | Dahler, Ed Ed Dahler | F | United States | Philadelphia Warriors | Duquesne |
| 2 | 15 | Gayda, Ed Ed Gayda | G/F | United States | Tri-Cities Blackhawks | Washington State |
| 2 | 16 | Sharman, Bill Bill Sharman ^ | G | United States | Washington Capitols | USC |
| 2 | 17 | Osterkorn, Wally Wally Osterkorn | F/C | United States | Chicago Stags | Illinois |
| 2 | 18 | Scherer, Herb Herb Scherer | C | United States | New York Knicks | Long Island |
| 2 | 19 | Riffey, Jim Jim Riffey | F | United States | Fort Wayne Pistons | Tulane |
| 2 | 20 | Unruh, Paul Paul Unruh # | F | United States | Indianapolis Olympians | Bradley |
| 2 | 21 | Stanich, George George Stanich # | G/F | United States | Rochester Royals | UCLA |
| 2 | 22 | Haskins, Hal Hal Haskins # | G/F | United States | Minneapolis Lakers | Hamline |
| 2 | 23 | Calabrese, Gerald Gerald Calabrese | G | United States | Syracuse Nationals | St. John's |
