# Asgard ( comics )
> Regions

| World | Notes |
| --- | --- |
| Alfheim | Home of the Light Elves . Alfheim is a distinct region on the Asgard planetoid. |
| Asgard | Home of the Asgardians. Asgard is the name of the planetoid, a distinct region on the planetoid and its capital city. |
| Hel | Realm of the dead who are neither honored nor dishonored. Ruled by Hela . |
| Jotunheim | Home of the Frost Giants . |
| Midgard | The Earthly plane. Although not technically a part of the Asgardian dimension, it is considered one of the Nine Worlds because of its significant connections to Asgard. |
| Muspelheim | Home of the Demons . Ruled by Surtur . |
| Nidavellir | Home of the Dwarves . Nidavellir is a distinct region on the Asgard planetoid. |
| Svartalfheim | Home of the Dark Elves . |
| Vanaheim | Home of the Vanir who are the sister race of the Asgardians. Vanaheim is a distinct region on the Asgard planetoid. |
