# Carbohydrate Quality Scorecard (GI Replaced by Ratings)

| Food | Carb Quality Rating | Blood Sugar Impact | Fiber (g/serving) | Comment |
| --- | --- | --- | ---:| --- |
| Whole oats | A | Low | 4 | Typically slow-digesting |
| White bread | D | High | 1 | Highly refined |
| Brown rice | B | Medium | 3 | More intact grain structure |
| Corn flakes | E | Very High | 1 | Often rapid glucose response |
| Sweet potato | B | Medium | 4 | Depends on preparation |
| Table sugar | E | Very High | 0 | Rapid absorption |
| Lentils | A | Low | 8 | Strong satiety effect |
| Yogurt (plain) | B | Low–Medium | 0 | Varies by sugar content |
| Orange juice | D | High | 0 | Little fiber |
| Apple | A | Low | 4 | Whole fruit effect |
